variable,Estimate,StdError,z_val
(Intercept),-5.885843121318481,0.08522063402512939,-69.06593911966081
month: Mon,0.1349528873927765,0.03321016140282047,4.063602273890642
month: Sum,-0.04324903565286379,0.030219656561311772,-1.4311557633064789
month: Win,-0.4621482208759943,0.02956066531831626,-15.633891047426456
timegroups: 2007-2010,0.3617183889216247,0.05018955317601648,7.20704541148366
timegroups: 2011-2012,0.5566058459292607,0.05007187566514748,11.116137323305546
timegroups: 2013,0.43586684560635247,0.047170613075347076,9.240220069010528
timegroups: 2014,0.4595353363565981,0.04041563075868792,11.370237893857796
timegroups: 2015,0.4098871758411229,0.03857087429754328,10.626857267459714
timegroups: 2016,0.49470965551580026,0.037723608983043506,13.11405957309569
timegroups: 2017,0.6565918304118535,0.03731578706291267,17.59555089391175
timegroups: 2018,0.6748548617751329,0.03721053153595418,18.136125282786228
timegroups: 2019,0.8280813495622033,0.03701730423617205,22.370114913798353
timegroups: 2020,0.8409122618532245,0.036840462947649,22.825778900992013
timegroups: 2021,0.9876282618063095,0.03672712663770143,26.89097547839425
timegroups: 2022,1.016031387414154,0.0367113433310348,27.67622470941367
timegroups: before 2000,-0.06807805733359434,0.051249669414764706,-1.3283609067336049
month: Aut & log(no_sp),0.9781788860942002,0.007187512499213479,136.09421704675174
month: Mon & log(no_sp),1.0602881705424907,0.008079371580647017,131.2339901635741
month: Sum & log(no_sp),1.0334055479609663,0.0065239936209655945,158.40076002527044
month: Win & log(no_sp),1.0145597059582259,0.005947426447948287,170.58802069056668
